CRICOS Provider Code,Trading Name,Institution Name,Institution Type,Institution Capacity,Website,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Line 4,Postal Address City,Postal Address State,Postal Address Postcode
00001K,,Canberra Institute of Technology,Government,"2,610",https://international.cit.edu.au/,International Services Unit,PO Box 226,,,JAMISON,ACT,2614
00002J,Macquarie University,Macquarie University (Macquarie),Government,"15,000",www.mq.edu.au,MACQUARIE UNIVERSITY,,,,Wallumattagal Campus,NSW,2109
00003G,University of New England,University of New England,Government,"1,774",www.une.edu.au,University of New England,,,,ARMIDALE,NSW,2351
00004G,Australian Catholic University,Australian Catholic University Limited,Government,"10,000",www.acu.edu.au,International Education Office,PO Box 968,,,NORTH SYDNEY,NSW,2059
00005F,Charles Sturt University,Charles Sturt University (CSU),Government,"6,890",www.csu.edu.au,Student Administration,Locked Bag 588,,,WAGGA WAGGA,NSW,2678
00008C,Monash University,Monash University (Monash),Government,"40,350",www.monash.edu.au,Monash University,Wellington Road,,,Clayton,VIC,3800
00011G,,Gordon Institute of TAFE,Government,600,http://www.gordontafe.edu.au/,Private Bag 1,,,,GEELONG MAIL CENTRE,VIC,3221
00012G,"Holmesglen, Holmesglen Institute",Holmesglen Institute,Government,"4,575",www.holmesglen.edu.au,PO Box 42,,,,HOLMESGLEN,VIC,3148
00017B,Bond University Limited,Bond University,Private,"2,980",http://www.bond.edu.au/,The Registrar,Junction of Cottesloe and University Drive,The Arch Building,University Drive,ROBINA,QLD,4226
00018A,South Australian Government Schools,Department for Education,Government,"2,552",http://www.internationalstudents.sa.edu.au,International Education Services,GPO Box 1152,,,ADELAIDE,SA,5001
00020G,TAFE International Western Australia,Department of Training and Workforce Development,Government,"8,251",http://www.tafeinternational.wa.edu.au/,Locked Bag 16,,,,Osborne Park Delivery Centre,WA,6916
00025B,The University of Queensland,The University of Queensland,Government,"25,000",www.uq.edu.au,The University of Queensland,,,,ST LUCIA,QLD,4072
00026A,The University of Sydney,The University of Sydney,Government,"44,600",http://sydney.edu.au,Michael Spence Building (F23),,,,The University of Sydney,NSW,2006
00040C,Holmes Secondary College; Oxford House College; Holmes Colleges Sydney,Holmes Colleges Sydney Pty Ltd,Private,510,www.holmes.edu.au,185 Spring Street,,,,MELBOURNE,VIC,3000
00051M,ELC Career College,ELC Career College Pty Ltd,Private,"1,230",www.elc.edu.au,"Level 5, 10 Quay Street",,,,Haymarket,NSW,2000
00053J,Universal English College,Universal Education Centre Pty Ltd,Private,"2,892",www.uec.edu.au,Level 1,203 Clarence St.,,,SYDNEY,NSW,2000
00057E,Alexander Language School,Alexander Language School Pty Ltd,Private,193,www.sgis.wa.edu.au,"Suite 3, 50 St Georges Terrace",,,,PERTH,WA,6000
00061J,Milner International College of English,Milner International College of English (WA) Pty Ltd,Private,570,www.milner.wa.edu.au,379 Hay Street,,,,PERTH,WA,6000
00066D,Phoenix Academy,Keyseq Pty Ltd,Private,405,www.phoenix.wa.edu.au,PO Box 256,,,,Leederville,WA,6903
00067C,Holmes English Language Centre; Oxford House College,Holmes Commercial Colleges (Melbourne) Ltd,Private,150,www.holmesinstitute.edu.au,185 Spring Street,,,,MELBOURNE,VIC,3000
00080F,"You Study Pty Ltd, You Study International College",You Study Pty Ltd,Private,130,www.youstudy.edu.au,2B Level 2 Orchid Plaza,58 Lake Street,,,CAIRNS,QLD,4870
00092B,TAFE South Australia,TAFE SA,Government,"2,012",http://www.tafesa.edu.au/international,Level 1,120 Currie Street,,,ADELAIDE,SA,5000
00094M,,South Australian College of English Pty Ltd,Private,850,http://www.sacecoll.sa.edu.au,Woodards House,"Level 1, 47 Waymouth Street",,,ADELAIDE,SA,5000
00098G,UNSW Sydney,The University of New South Wales (UNSW),Government,"39,770",www.unsw.edu.au,The University of New South Wales,,,,Kensington,NSW,2052
00099F,University of Technology Sydney (UTS),University of Technology Sydney (UTS),Government,"16,300",www.uts.edu.au,PO Box 123,,,,BROADWAY,NSW,2007
00102E,University of Wollongong,University of Wollongong (UoW),Government,"10,001",www.uow.edu.au,"Building 39A, Northfields Avenue",,,,WOLLONGONG,NSW,2522
00103D,Federation University Australia,Federation University Australia,Government,"7,090",www.federation.edu.au,PO Box 663,,,,BALLARAT,VIC,3353
00109J,"The University of Newcastle (UoN), The University of Newcastle Language Centre, Sydney",The University of Newcastle (UoN),Government,"7,800",www.newcastle.edu.au,University Drive,,,,CALLAGHAN,NSW,2308
00111D,,Swinburne University of Technology,Government,"12,000",https://www.swinburne.edu.au/international,Swinburne International (H5),Swinburne University of Technology,PO Box 218,,HAWTHORN,VIC,3122
00113B,,Deakin University (Deakin),Government,"20,440",http://www.deakin.edu.au/,221 Burwood Highway,,,,BURWOOD,VIC,3125
00114A,,Flinders University,Government,"8,070",http://www.flinders.edu.au/,GPO Box 2100,,,,ADELAIDE,SA,5001
00115M,La Trobe University,La Trobe University (La Trobe),Government,"8,905",http://www.latrobe.edu.au/international,La Trobe University,,,,BUNDOORA,VIC,3083
00116K,,The University of Melbourne (UniMelb),Government,"40,500",http://www.unimelb.edu.au/,The University of Melbourne,,,,PARKVILLE,VIC,3010
00117J,James Cook University,James Cook University,Government,"4,100",www.jcu.edu.au,International Student Centre,,,,TOWNSVILLE,QLD,4811
